,SMILES
0,C[C@H](NC(=O)c1cnc(C#N)c(-c2cc(F)cc(F)c2)c1N1CC[C@H](N)C1)C(F)(F)F
1,N=C(N)NCCC[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](N)Cc1ccc(F)cc1)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O
2,C[C@@H]1CCC[C@H](C)N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
3,CCCCC1C(=O)NN(c2ccccc2)C1=O
4,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1
5,Cl.N
6,O=C(O)CC/C=C\CC[C@@H]1[C@@H](N2CCCCC2)[C@@H](O)C[C@@H]1OCc1ccc(-c2ccccc2)cc1
7,O=C(O)CCC1(Cc2ccccc2)CCCCC1=O
8,C[C@]12CC[C@H](OS(=O)(=O)O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
9,CC(=O)Oc1cccc(O)c1
10,CC(COc1ccccc1)N(C)CCOC(c1ccccc1)c1ccccc1
11,N[C@@H](CSCC(=O)O)C(=O)O
12,C[C@@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)OP(=O)(O)OP(=O)(O)O
13,CC(C(=O)O)c1ccc(Nc2ccccc2C(=O)O)cc1
14,C[C@@H](c1ccc(-c2ccccc2)c(F)c1)c1cc(NC(=N)N2CCOCC2)on1
15,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCC(=O)O)[C@@]2(C)C=CC(=O)C=C12
16,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3
17,O=C(Cn1c(Cl)cnc(NCC(F)(F)c2ccccn2)c1=O)NCc1ncccc1F
18,Clc1ccc2c(n1)C(c1ccccc1Cl)=NCc1nncn1-2
19,CC[C@H](C)CC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1
20,O=c1[nH]c2ccccc2c2cc(CO)nn12
21,C[S+](C)CCOC(=O)C(c1ccccc1)C1CCCCC1
22,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1
23,CC1(C)NC(=O)C(/C=C/c2ccccc2)O1
24,CCC(N)C(O)c1ccc(O)c(O)c1
25,COc1ncc(-c2ccc3ncc(OCCN(C)C)c(=O)n3c2)cc1NS(=O)(=O)c1ccc(F)cc1Cl
26,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)nc(N)c2N1
27,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1
28,Cc1ncccc1C(=O)N1CCN(S(=O)(=O)c2ccc(C(F)(F)F)cc2)C[C@@H]1C
29,O/N=c1\cc(-c2cc3sccc3cn2)oc2ccc(CCCN3CCOCC3)cc12
30,O=C(NNC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O)[C@@H]1CCCNC1
31,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
32,CN(C)CCC1CN(C)C(=S)c2cccnc2O1
33,O=c1c2ccccc2c(Cc2ccc(F)cc2)nn1C1CCCN(CCc2ccccc2)CC1
34,C[C@@H]1CC[C@@H](Nc2nc(NC(C)(C)C)ncc2C(N)=O)C[C@H]1O
35,CN1CCN(c2cccc3[nH]c(=O)oc23)CC1
36,CCN(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@H]3CC[C@H](NS(=O)(=O)CC)CC3)CC2)C1)C(C)C
37,CCC(C)(Oc1ccc(Cc2ccc(Cl)cc2)cc1)C(=O)OCc1cccnc1
38,Nc1cccc(-n2ccccc2=O)c1
39,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@@]3(O)C(=O)C[C@@H](C)O[C@H]3O[C@@H]2[C@H]1O
40,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
41,C=CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
42,N=C(N)NCc1ccc(OCCCF)c(Br)c1
43,Clc1ccc(OCC2=NCCc3ccccc32)cc1
44,O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O
45,CCC(=O)O[C@]1(C(=O)SCCl)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
46,CNC(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@@H](Cc1ccc2ccccc2c1)N(C)C(=O)/C=C/CC(C)(C)N
47,COc1cc(/C=C/C(=O)N2CCN(CC(=O)N3CCCC3)CC2)cc(OC)c1OC
48,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1
49,[C-]#[N+]C(=C\c1ccc(O)cc1)/C(=C/c1ccc(O)cc1)[N+]#[C-]
